Five_Month_Rank,RegionName,Most_Recent_Rent,Most_Recent_Sale,Sales_Per_Rent_Most_Recent,Five_Month_Rent,Five_Month_Sale,Five_Month_Avg,GRM,Percent_Rule
1,"Indiana, PA",1399.07385253906,133480,95.4059714272826,1292.0939453125,129207,99.9981467823925,8.33317889853271,0.0100001853251952
2,"Pottsville, PA",914.98779296875,109532,119.708700861041,912.423754882813,103409.2,113.334620505668,9.44455170880565,0.00882342920052387
3,"Bay City, MI",1174.50329589844,139726,118.966034823356,1206.60317382812,140899.8,116.773934509864,9.73116120915537,0.00856355490801353
4,"Binghamton, NY",1396.70764160156,158701,113.625067460805,1316.82216796875,159810,121.36035061326,10.113362551105,0.00823992345891215
5,"Blacksburg, VA",1626.51867675781,179856,110.577273147894,1607.31369628906,198244,123.338711327915,10.2782259439929,0.00810775456653953
6,"Peoria, IL",1091.24755859375,132643,121.551703786565,1061.21345214844,134148.8,126.410760934489,10.5342300778741,0.00791071893411225
7,"Danville, IL",667.699584960938,81835,122.562604265791,665.012512207031,89347.6,134.354765301295,11.1962304417746,0.00744298125754952
8,"Syracuse, NY",1411.578125,190315,134.824276906388,1428.26345214844,193301.6,135.340297134419,11.2783580945349,0.00738878235952748
9,"Toledo, OH",1171.80224609375,152481,130.12519860608,1178.3103515625,160645.2,136.33521914407,11.3612682620059,0.0073348618667878
10,"Punta Gorda, FL",2474.41577148438,334554,135.205248792649,2442.94760742188,341457.8,139.772870675828,11.6477392229856,0.00715446420442548
11,"Florence, SC",1295.83178710938,177026,136.6118671891,1304.73408203125,182915.4,140.193624524035,11.6828020436695,0.00713299198444335
12,"Watertown, NY",1350.86511230469,180487,133.60845457921,1330.7201171875,188668.8,141.779475310522,11.8149562758768,0.00705320708663807
13,"Battle Creek, MI",1090.33447265625,152331,139.710340102239,1093.98283691406,155184.2,141.852499658722,11.8210416382269,0.00704957616119465
14,"Terre Haute, IN",922.478820800781,140480,152.285339058573,918.615319824219,130874.4,142.469211187381,11.8724342656151,0.00701906041077719
15,"Hinesville, GA",1584.92163085938,224407,141.588704217711,1552.6048828125,223019,143.641825727102,11.9701521439251,0.00696176058009631
16,"Cleveland, OH",1339.97106933594,189155,141.16349548781,1339.35578613281,193955.8,144.812754018122,12.0677295015102,0.00690546911271956
17,"Rocky Mount, NC",1346.2275390625,196055,145.632884717639,1337.59008789063,193718.6,144.826581591595,12.0688817992996,0.00690480980086902
18,"Rochester, NY",1378.5966796875,197494,143.25727234797,1378.72199707031,200781.2,145.628488140935,12.1357073450779,0.00686678831021187
19,"Carbondale, IL",800.885925292969,114092,142.457241907784,796.039465332031,116303.2,146.102304050327,12.1751920041939,0.00684451902726693
20,"Muncie, IN",954.572814941406,133060,139.392195039796,922.66337890625,134856,146.159480351178,12.1799566959315,0.00684184151173289
